success,status,gemarkung,flur,a_datum,a_datum_dmy,quartal,gemeinde,ogc_fid,type
true,true,Schönberg,017244008,2023-11-06,06.11.2023,11_2023,Schönberg,4312,alkis
true,true,Langenhagen,014100001,2023-11-06,06.11.2023,11_2023,Schönwalde am Bungsberg,4313,alkis
true,true,Einhaus,017047001,2023-11-06,06.11.2023,11_2023,Einhaus,4314,alkis
true,true,Silberstedt,018106008,2023-11-06,06.11.2023,11_2023,Silberstedt,4315,alkis
true,true,Emmelsbüll,015516022,2023-11-06,06.11.2023,11_2023,Emmelsbüll-Horsbüll,4316,alkis
true,true,Nützen,019084008,2023-11-06,06.11.2023,11_2023,Nützen,4317,alkis
true,true,Armstedt,019004007,2023-11-06,06.11.2023,11_2023,Armstedt,4318,alkis
true,true,Steenfeld,017511004,2023-11-06,06.11.2023,11_2023,Steenfeld,4319,alkis
true,true,Basthorst-Haupthof,017014004,2023-11-06,06.11.2023,11_2023,Basthorst,4320,alkis
true,true,Segeberg,019103009,2023-11-06,06.11.2023,11_2023,Bad Segeberg,4321,alkis
true,true,Friedenstal,010109004,2023-11-06,06.11.2023,11_2023,Windeby,4322,alkis
true,true,Hagen,019039005,2023-11-06,06.11.2023,11_2023,Hagen,4323,alkis
true,true,Achtrup,015501005,2023-11-06,06.11.2023,11_2023,Achtrup,4324,alkis
true,true,Fiefharrie,014528001,2023-11-06,06.11.2023,11_2023,Negenharrie,4325,alkis
true,true,Lanken,017159007,2023-11-06,06.11.2023,11_2023,Elmenhorst,4326,alkis
true,true,Rügge,018094003,2023-11-06,06.11.2023,11_2023,Rügge,4327,alkis
true,true,Wasbek,014572019,2023-11-06,06.11.2023,11_2023,Wasbek,4328,alkis
true,true,Itzstedt,019054002,2023-11-06,06.11.2023,11_2023,Itzstedt,4329,alkis
true,true,Padenstedt,014555006,2023-11-06,06.11.2023,11_2023,Padenstedt,4330,alkis
true,true,Ohe,015090004,2023-11-06,06.11.2023,11_2023,Reinbek,4331,alkis
true,true,Elisabeth-Sophien-Koog,011517012,2023-11-06,06.11.2023,11_2023,Elisabeth-Sophien-Koog,4332,alkis
true,true,Steinhorst,017260015,2023-11-06,06.11.2023,11_2023,Steinhorst,4333,alkis
true,true,Breitenfelde,017025008,2023-11-06,06.11.2023,11_2023,Breitenfelde,4334,alkis
true,true,Jerrishoe,011065012,2023-11-06,06.11.2023,11_2023,Jerrishoe,4335,alkis
true,true,Homfeld,014542006,2023-11-06,06.11.2023,11_2023,Aukrug,4336,alkis
true,true,Kopendorf,014092005,2023-11-06,06.11.2023,11_2023,Fehmarn,4337,alkis
true,true,Großensee,015035007,2023-11-06,06.11.2023,11_2023,Großensee,4338,alkis
true,true,Lanze,017161007,2023-11-06,06.11.2023,11_2023,Lanze,4339,alkis
true,true,Grünhorst,010145001,2023-11-06,06.11.2023,11_2023,Holtsee,4340,alkis
true,true,Schwabstedt,011577010,2023-11-06,06.11.2023,11_2023,Schwabstedt,4341,alkis
true,true,Marienhof,010268001,2023-11-06,06.11.2023,11_2023,Thumby,4342,alkis
true,true,Neukirchen (Malente),010570002,2023-11-06,06.11.2023,11_2023,Malente,4343,alkis
true,true,Nottfeld,018086002,2023-11-06,06.11.2023,11_2023,Nottfeld,4344,alkis
true,true,Futterkamp,016049001,2023-11-06,06.11.2023,11_2023,Blekendorf,4345,alkis
true,true,Groß Offenseth-Aspern,016527008,2023-11-06,06.11.2023,11_2023,Groß Offenseth-Aspern,4346,alkis
true,true,Kropp,018067020,2023-11-06,06.11.2023,11_2023,Kropp,4347,alkis
true,true,Sieseby,010392001,2023-11-06,06.11.2023,11_2023,Thumby,4348,alkis
true,true,Luhnstedt,010263011,2023-11-06,06.11.2023,11_2023,Luhnstedt,4349,alkis
true,true,Schellhorn,016160002,2023-11-06,06.11.2023,11_2023,Schellhorn,4350,alkis
true,true,Süderau,012123002,2023-11-06,06.11.2023,11_2023,Süderau,4351,alkis
true,true,Kieckbusch,010548002,2023-11-06,06.11.2023,11_2023,Bosau,4352,alkis
true,true,Wellinghusen,013375004,2023-11-06,06.11.2023,11_2023,Norderwöhrden,4353,alkis
true,true,Neudorf,010567001,2023-11-06,06.11.2023,11_2023,Eutin,4354,alkis
true,true,Alkersum,015502001,2023-11-06,06.11.2023,11_2023,Alkersum,4355,alkis
true,true,Osterrönfeld,010321013,2023-11-06,06.11.2023,11_2023,Osterrönfeld,4356,alkis
true,true,Kuddewörde-Rothenbek,017152006,2023-11-06,06.11.2023,11_2023,Kuddewörde,4357,alkis
true,true,Schafstedt,013083015,2023-11-06,06.11.2023,11_2023,Schafstedt,4358,alkis
true,true,Rausdorf,015100002,2023-11-06,06.11.2023,11_2023,Rausdorf,4359,alkis
true,true,Bönningstedt,016508007,2023-11-06,06.11.2023,11_2023,Bönningstedt,4360,alkis
true,true,Elsdorf-Westermühlen,010095009,2023-11-06,06.11.2023,11_2023,Elsdorf-Westermühlen,4361,alkis
true,true,Seedorf,019101003,2023-11-06,06.11.2023,11_2023,Seedorf,4362,alkis
true,true,Lütjenhorn,015539003,2023-11-06,06.11.2023,11_2023,Achtrup,4363,alkis
true,true,Wittmoldt,016209003,2023-11-06,06.11.2023,11_2023,Wittmoldt,4364,alkis
true,true,Munkbrarup,011097001,2023-11-06,06.11.2023,11_2023,Munkbrarup,4365,alkis
true,true,Lürschau,018074010,2023-11-06,06.11.2023,11_2023,Lürschau,4366,alkis
true,true,Kuddewörde-Rothenbek,017152005,2023-11-06,06.11.2023,11_2023,Kuddewörde,4367,alkis
true,true,Hedwigenkoog,013322010,2023-11-06,06.11.2023,11_2023,Hedwigenkoog,4368,alkis
true,true,Stolk,018109011,2023-11-06,06.11.2023,11_2023,Stolk,4369,alkis
true,true,Nettelsee,016118002,2023-11-06,06.11.2023,11_2023,Nettelsee,4370,alkis
true,true,St. Peter-Ording,011619001,2023-11-06,06.11.2023,11_2023,Sankt Peter-Ording,4371,alkis
true,true,Kasmark,010216002,2023-11-06,06.11.2023,11_2023,Loose,4372,alkis
true,true,Remmels,010346006,2023-11-06,06.11.2023,11_2023,Remmels,4373,alkis
true,true,Barkau,010505003,2023-11-06,06.11.2023,11_2023,Süsel,4374,alkis
true,true,Beidendorf,013505003,2023-11-06,06.11.2023,11_2023,"Lübeck, Hansestadt",4375,alkis
true,true,Neuhaus-Giekau,016121006,2023-11-06,06.11.2023,11_2023,Giekau,4376,alkis
