success,status,gemarkung,flur,a_datum,a_datum_dmy,quartal,gemeinde,ogc_fid,type
true,true,Grube,014059007,2023-11-06,06.11.2023,11_2023,Grube,1161,alkis
true,true,Henstedt,019047015,2023-11-06,06.11.2023,11_2023,Henstedt-Ulzburg,1162,alkis
true,true,Dalldorf,017040004,2023-11-06,06.11.2023,11_2023,Dalldorf,1163,alkis
true,true,Klein Nordende,016543009,2023-11-06,06.11.2023,11_2023,Klein Nordende,1164,alkis
true,true,Groß Niendorf,019037009,2023-11-06,06.11.2023,11_2023,Groß Niendorf,1165,alkis
true,true,Schafflund,011168004,2023-11-06,06.11.2023,11_2023,Schafflund,1166,alkis
true,true,Hattstedtermarsch,011527018,2023-11-06,06.11.2023,11_2023,Hattstedtermarsch,1167,alkis
true,true,Langenhorn,011543025,2023-11-06,06.11.2023,11_2023,Langenhorn,1168,alkis
true,true,Braderup,015511006,2023-11-06,06.11.2023,11_2023,Braderup,1169,alkis
true,true,Nettelsee,016118001,2023-11-06,06.11.2023,11_2023,Nettelsee,1170,alkis
true,true,Drage,012027005,2023-11-06,06.11.2023,11_2023,Drage,1171,alkis
true,true,Melsdorf,012614004,2023-11-06,06.11.2023,11_2023,Melsdorf,1172,alkis
true,true,Hürup,011060005,2023-11-06,06.11.2023,11_2023,Hürup,1173,alkis
true,true,Kurzenmoor,016574003,2023-11-06,06.11.2023,11_2023,Seester,1174,alkis
true,true,Stolk,018109010,2023-11-06,06.11.2023,11_2023,Stolk,1175,alkis
true,true,Nieblum,015543007,2023-11-06,06.11.2023,11_2023,Nieblum,1176,alkis
true,true,Linden,013337004,2023-11-06,06.11.2023,11_2023,Linden,1177,alkis
true,true,Wester-Akeby,018126003,2023-11-06,06.11.2023,11_2023,Taarstedt,1178,alkis
true,true,Hanerau,010158009,2023-11-06,06.11.2023,11_2023,Hanerau-Hademarschen,1179,alkis
true,true,Großenaspe,014532013,2023-11-06,06.11.2023,11_2023,Großenaspe,1180,alkis
true,true,Lentföhrden,019072006,2023-11-06,06.11.2023,11_2023,Lentföhrden,1181,alkis
true,true,Lehe,013335006,2023-11-06,06.11.2023,11_2023,Lehe,1182,alkis
true,true,Nienborstel,010290002,2023-11-06,06.11.2023,11_2023,Nienborstel,1183,alkis
true,true,Friedrichskoog,013051014,2023-11-06,06.11.2023,11_2023,Friedrichskoog,1184,alkis
true,true,Westerhever,011627010,2023-11-06,06.11.2023,11_2023,Westerhever,1185,alkis
true,true,Dänschendorf,014029010,2023-11-06,06.11.2023,11_2023,Fehmarn,1186,alkis
true,true,Neustadt,014126012,2023-11-06,06.11.2023,11_2023,Neustadt in Holst.,1187,alkis
true,true,Dollerup,011013006,2023-11-06,06.11.2023,11_2023,Dollerup,1188,alkis
true,true,Fassensdorf,010523003,2023-11-06,06.11.2023,11_2023,Süsel,1189,alkis
true,true,Klein Bennebek,018061013,2023-11-06,06.11.2023,11_2023,Klein Bennebek,1190,alkis
true,true,Quickborn,016565008,2023-11-06,06.11.2023,11_2023,Quickborn,1191,alkis
true,true,Lentföhrden,019072018,2023-11-06,06.11.2023,11_2023,Lentföhrden,1192,alkis
true,true,Malkwitz,010563004,2023-11-06,06.11.2023,11_2023,Malente,1193,alkis
true,true,Horst,012048013,2023-11-06,06.11.2023,11_2023,Horst (Holstein),1194,alkis
true,true,Wisch,012747003,2023-11-06,06.11.2023,11_2023,Wisch,1195,alkis
true,true,Handewitt,011047003,2023-11-06,06.11.2023,11_2023,Handewitt,1196,alkis
true,true,Reußenköge,011572006,2023-11-06,06.11.2023,11_2023,Reußenköge,1197,alkis
true,true,Hohenhorn,017106005,2023-11-06,06.11.2023,11_2023,Hohenhorn,1198,alkis
true,true,Hartenholm,019042008,2023-11-06,06.11.2023,11_2023,Hartenholm,1199,alkis
true,true,Harksheide,019141004,2023-11-06,06.11.2023,11_2023,Norderstedt,1200,alkis
true,true,Langenhorn,011543009,2023-11-06,06.11.2023,11_2023,Langenhorn,1201,alkis
true,true,Blunk,019011004,2023-11-06,06.11.2023,11_2023,Blunk,1202,alkis
true,true,Jardelund,011171001,2023-11-06,06.11.2023,11_2023,Jardelund,1203,alkis
true,true,Kurzenmoor,016574010,2023-11-06,06.11.2023,11_2023,Seester,1204,alkis
true,true,Bordelum,011510003,2023-11-06,06.11.2023,11_2023,Bordelum,1205,alkis
true,true,Wedel,016584021,2023-11-06,06.11.2023,11_2023,Wedel,1206,alkis
true,true,Schuby,018104001,2023-11-06,06.11.2023,11_2023,Schuby,1207,alkis
true,true,Bokel,010041012,2023-11-06,06.11.2023,11_2023,Bokel,1208,alkis
true,true,Kronsmoor,012066006,2023-11-06,06.11.2023,11_2023,Kronsmoor,1209,alkis
true,true,Langenhorn,011543002,2023-11-06,06.11.2023,11_2023,Langenhorn,1210,alkis
true,true,Bordelum,011510012,2023-11-06,06.11.2023,11_2023,Bordelum,1211,alkis
true,true,Ahrenviölfeld,011599003,2023-11-06,06.11.2023,11_2023,Ahrenviölfeld,1212,alkis
true,true,Postfeld,016133005,2023-11-06,06.11.2023,11_2023,Postfeld,1213,alkis
true,true,Bargstall,010019003,2023-11-06,06.11.2023,11_2023,Bargstall,1214,alkis
true,true,Tangstedt,016580011,2023-11-06,06.11.2023,11_2023,Tangstedt,1215,alkis
true,true,Blunk,019011008,2023-11-06,06.11.2023,11_2023,Blunk,1216,alkis
true,true,Neuenkirchen,013341022,2023-11-06,06.11.2023,11_2023,Neuenkirchen,1217,alkis
true,true,Rendsburg,010348007,2023-11-06,06.11.2023,11_2023,Rendsburg,1218,alkis
true,true,Israelsdorf,013515010,2023-11-06,06.11.2023,11_2023,"Lübeck, Hansestadt",1219,alkis
true,true,Rabel,011114008,2023-11-06,06.11.2023,11_2023,Rabel,1220,alkis
true,true,Riesbriek,011116005,2023-11-06,06.11.2023,11_2023,Lindewitt,1221,alkis
true,true,Barsbüttel,015011004,2023-11-06,06.11.2023,11_2023,Barsbüttel,1222,alkis
true,true,Brunsbüttel,013016054,2023-11-06,06.11.2023,11_2023,Brunsbüttel,1223,alkis
true,true,Nordstrand,011556016,2023-11-06,06.11.2023,11_2023,Nordstrand,1224,alkis
true,true,Dörphof,010082001,2023-11-06,06.11.2023,11_2023,Dörphof,1225,alkis
true,true,Klixbüll,015533008,2023-11-06,06.11.2023,11_2023,Klixbüll,1226,alkis
true,true,Heidmoor,019138006,2023-11-06,06.11.2023,11_2023,Heidmoor,1227,alkis
true,true,Bimöhlen,019009007,2023-11-06,06.11.2023,11_2023,Bimöhlen,1228,alkis
true,true,Kollmar,012170012,2023-11-06,06.11.2023,11_2023,Neuendorf b. Elmshorn,1229,alkis
true,true,Reußenköge,011572010,2023-11-06,06.11.2023,11_2023,Reußenköge,1230,alkis
true,true,Lutzhorn,016553012,2023-11-06,06.11.2023,11_2023,Lutzhorn,1231,alkis
true,true,Benz,010506001,2023-11-06,06.11.2023,11_2023,Malente,1232,alkis
true,true,Hemdingen,016536011,2023-11-06,06.11.2023,11_2023,Hemdingen,1233,alkis
true,true,Tarp,011143006,2023-11-06,06.11.2023,11_2023,Tarp,1234,alkis
true,true,Neukirchen,015542006,2023-11-06,06.11.2023,11_2023,Neukirchen,1235,alkis
true,true,Schülp bei Rendsburg,010385004,2023-11-06,06.11.2023,11_2023,Schülp b. Rendsburg,1236,alkis
true,true,Niebüll,015544027,2023-11-06,06.11.2023,11_2023,Niebüll,1237,alkis
true,true,Kreuzfeld,010553002,2023-11-06,06.11.2023,11_2023,Malente,1238,alkis
true,true,Eggstedt,013025010,2023-11-06,06.11.2023,11_2023,Eggstedt,1239,alkis
true,true,Todesfelde,019118010,2023-11-06,06.11.2023,11_2023,Todesfelde,1240,alkis
true,true,Borsfleth,012017015,2023-11-06,06.11.2023,11_2023,Borsfleth,1241,alkis
true,true,Nüchel,010572001,2023-11-06,06.11.2023,11_2023,Malente,1242,alkis
true,true,Nortorf,012086018,2023-11-06,06.11.2023,11_2023,Nortorf,1243,alkis
true,true,Böken,014506003,2023-11-06,06.11.2023,11_2023,Aukrug,1244,alkis
true,true,Sillerup,011128006,2023-11-06,06.11.2023,11_2023,Lindewitt,1245,alkis
true,true,Tinningstedt,015561004,2023-11-06,06.11.2023,11_2023,Tinningstedt,1246,alkis
true,true,Wewelsfleth,012131015,2023-11-06,06.11.2023,11_2023,Wewelsfleth,1247,alkis
true,true,Friedrichsgabe,019140007,2023-11-06,06.11.2023,11_2023,Norderstedt,1248,alkis
true,true,Sachsenwald,017220011,2023-11-06,06.11.2023,11_2023,"Sachsenwald, Forstgutsbez.",1249,alkis
true,true,Theresienhof,016185001,2023-11-06,06.11.2023,11_2023,Rathjensdorf,1250,alkis
true,true,Nordermeldorf,013455007,2023-11-06,06.11.2023,11_2023,Nordermeldorf,1251,alkis
true,true,Brekendorf,010061001,2023-11-06,06.11.2023,11_2023,Brekendorf,1252,alkis
true,true,Moordorf,012078001,2023-11-06,06.11.2023,11_2023,Westermoor,1253,alkis
true,true,Dammholm,018022002,2023-11-06,06.11.2023,11_2023,Mittelangeln,1254,alkis
true,true,Klein Gladebrügge,019063001,2023-11-06,06.11.2023,11_2023,Klein Gladebrügge,1255,alkis
true,true,Kasseedorf,014079009,2023-11-06,06.11.2023,11_2023,Kasseedorf,1256,alkis
true,true,Itzstedt,019054003,2023-11-06,06.11.2023,11_2023,Itzstedt,1257,alkis
true,true,Koberg,017137005,2023-11-06,06.11.2023,11_2023,Koberg,1258,alkis
true,true,Oberbüssau,013524002,2023-11-06,06.11.2023,11_2023,"Lübeck, Hansestadt",1259,alkis
true,true,Hasenmoor,019044002,2023-11-06,06.11.2023,11_2023,Hasenmoor,1260,alkis
true,true,Lehmrade,017165004,2023-11-06,06.11.2023,11_2023,Lehmrade,1261,alkis
true,true,Weseby,011161002,2023-11-06,06.11.2023,11_2023,Hürup,1262,alkis
true,true,Simonsberg,011581010,2023-11-06,06.11.2023,11_2023,Simonsberg,1263,alkis
true,true,Hemmingstedt,013037005,2023-11-06,06.11.2023,11_2023,Hemmingstedt,1264,alkis
true,true,Groß Wittensee,010143007,2023-11-06,06.11.2023,11_2023,Groß Wittensee,1265,alkis
true,true,Groß Wittensee,010143005,2023-11-06,06.11.2023,11_2023,Groß Wittensee,1266,alkis
true,true,Loitmark,018133004,2023-11-06,06.11.2023,11_2023,Kappeln,1267,alkis
true,true,Löwenstedt,011546004,2023-11-06,06.11.2023,11_2023,Löwenstedt,1268,alkis
true,true,Holm,016541006,2023-11-06,06.11.2023,11_2023,Holm,1269,alkis
true,true,Burg,014025017,2023-11-06,06.11.2023,11_2023,Fehmarn,1270,alkis
true,true,Eggebek,011017001,2023-11-06,06.11.2023,11_2023,Eggebek,1271,alkis
true,true,Handewitt,011047007,2023-11-06,06.11.2023,11_2023,Handewitt,1272,alkis
true,true,Tönning,011623007,2023-11-06,06.11.2023,11_2023,Tönning,1273,alkis
true,true,Kaiser-Wilhelm-Koog,013044008,2023-11-06,06.11.2023,11_2023,Kaiser-Wilhelm-Koog,1274,alkis
true,true,Heidgraben,016534004,2023-11-06,06.11.2023,11_2023,Heidgraben,1275,alkis
true,true,Blunk,019011001,2023-11-06,06.11.2023,11_2023,Blunk,1276,alkis
true,true,Schönweide,016167003,2023-11-06,06.11.2023,11_2023,Grebin,1277,alkis
true,true,Süsel-Middelburg,010602008,2023-11-06,06.11.2023,11_2023,Süsel,1278,alkis
true,true,Nordermeldorf,013455006,2023-11-06,06.11.2023,11_2023,Nordermeldorf,1279,alkis
true,true,Langenhorn,011543035,2023-11-06,06.11.2023,11_2023,Langenhorn,1280,alkis
true,true,Kronprinzenkoog,013052017,2023-11-06,06.11.2023,11_2023,Kronprinzenkoog,1281,alkis
true,true,Norderwisch,013068002,2023-11-06,06.11.2023,11_2023,St. Michaelisdonn,1282,alkis
true,true,Struckum,011597007,2023-11-06,06.11.2023,11_2023,Struckum,1283,alkis
true,true,Schwissel,019100001,2023-11-06,06.11.2023,11_2023,Schwissel,1284,alkis
true,true,Besenthal,017021001,2023-11-06,06.11.2023,11_2023,Besenthal,1285,alkis
true,true,Sielbeck,010596003,2023-11-06,06.11.2023,11_2023,Eutin,1286,alkis
true,true,Rabenholz,011115001,2023-11-06,06.11.2023,11_2023,Rabenholz,1287,alkis
true,true,Friedrichskoog,013051017,2023-11-06,06.11.2023,11_2023,Friedrichskoog,1288,alkis
true,true,Stapelfeld,015119007,2023-11-06,06.11.2023,11_2023,Stapelfeld,1289,alkis
true,true,Felde,012608007,2023-11-06,06.11.2023,11_2023,Felde,1290,alkis
true,true,Reinbek,015102004,2023-11-06,06.11.2023,11_2023,Reinbek,1291,alkis
true,true,Friedrichskoog,013051007,2023-11-06,06.11.2023,11_2023,Friedrichskoog,1292,alkis
true,true,Kropp,018067028,2023-11-06,06.11.2023,11_2023,Kropp,1293,alkis
true,true,Schuby,018104006,2023-11-06,06.11.2023,11_2023,Schuby,1294,alkis
true,true,Holm,016541002,2023-11-06,06.11.2023,11_2023,Holm,1295,alkis
true,true,Grambek,017067007,2023-11-06,06.11.2023,11_2023,Grambek,1296,alkis
true,true,Westre,015566004,2023-11-06,06.11.2023,11_2023,Westre,1297,alkis
true,true,Ockholm,011559002,2023-11-06,06.11.2023,11_2023,Ockholm,1298,alkis
true,true,Hürup,011060007,2023-11-06,06.11.2023,11_2023,Hürup,1299,alkis
true,true,Koldenbüttel,011609010,2023-11-06,06.11.2023,11_2023,Koldenbüttel,1300,alkis
true,true,Ostrohe,013346001,2023-11-06,06.11.2023,11_2023,Ostrohe,1301,alkis
true,true,Steinfeld,018107007,2023-11-06,06.11.2023,11_2023,Steinfeld,1302,alkis
true,true,Rabel,011114005,2023-11-06,06.11.2023,11_2023,Rabel,1303,alkis
true,true,Huje,012049006,2023-11-06,06.11.2023,11_2023,Huje,1304,alkis
true,true,Volsemenhusen,013109011,2023-11-06,06.11.2023,11_2023,Volsemenhusen,1305,alkis
true,true,Voorde,014571001,2023-11-06,06.11.2023,11_2023,Flintbek,1306,alkis
true,true,Tating,011621017,2023-11-06,06.11.2023,11_2023,Tating,1307,alkis
true,true,Höltenklinken,015048002,2023-11-06,06.11.2023,11_2023,Rümpel,1308,alkis
true,true,Leezen,019071006,2023-11-06,06.11.2023,11_2023,Leezen,1309,alkis
true,true,Kronprinzenkoog,013052020,2023-11-06,06.11.2023,11_2023,Kronprinzenkoog,1310,alkis
true,true,Todesfelde,019118007,2023-11-06,06.11.2023,11_2023,Todesfelde,1311,alkis
true,true,Barkenholm,013301003,2023-11-06,06.11.2023,11_2023,Barkenholm,1312,alkis
true,true,Rabel,011114002,2023-11-06,06.11.2023,11_2023,Rabel,1313,alkis
true,true,Silberstedt,018106020,2023-11-06,06.11.2023,11_2023,Silberstedt,1314,alkis
